date, pm25, o3, so2, co,ICA,nDia
2021/6/22, 39, 32, 10, 7,22.00,-457
2021/6/23, 57, 27, 4, 6,23.50,-458
2021/6/24, 55, 28, 11, 7,25.25,-459
2021/6/25, 57, 37, 4, 6,26.00,-460
2021/6/26, 61, 26, 6, 8,25.25,-461
2021/6/27, 65, 35, 7, 7,28.50,-462
2021/6/28, 59, 26, 9, 9,25.75,-463
2021/6/29, 60, 37, 8, 7,28.00,-464
2021/6/30, 49, 24, 6, 6,21.25,-465
2021/7/1, 40, 33, 12, 6,22.75,-466
2021/1/5, 48, 17, 4, 7,19.00,-467
2021/1/6, 49, 20, 8, 7,21.00,-468
2021/1/7, 57, 35, 4, 6,25.50,-469
2021/1/8, 52, 21, 7, 10,22.50,-470
2021/1/9, 61, 28, 4, 8,25.25,-471
2021/1/10, 61, 32, 3, 7,25.75,-472
2021/1/11, 56, 29, 7, 9,25.25,-473
2021/1/12, 65, 27, 7, 9,27.00,-474
2021/1/13, 60, 30, 6, 8,26.00,-475
2021/1/14, 55, 29, 7, 8,24.75,-476
2021/1/15, 65, 32, 4, 8,27.25,-477
2021/1/16, 58, 29, 3, 7,24.25,-478
2021/1/17, 45, 34, 2, 7,22.00,-479
2021/1/18, 50, 28, 4, 8,22.50,-480
2021/1/19, 58, 33, 5, 8,26.00,-481
2021/1/20, 58, 34, 4, 8,26.00,-482
2021/1/21, 59, 28, 4, 7,24.50,-483
2021/1/22, 56, 14, 4, 7,20.25,-484
2021/1/23, 63, 28, 4, 8,25.75,-485
2021/1/24, 56, 28, 3, 6,23.25,-486
2021/1/25, 50, 25, 6, 8,22.25,-487
2021/1/26, 68, 24, 4, 7,25.75,-488
2021/1/27, 61, 33, 4, 5,25.75,-489
2021/1/28, 54, 31, 3, 5,23.25,-490
2021/1/29, 58, 28, 3, 6,23.75,-491
2021/1/30, 55, 36, 3, 6,25.00,-492
2021/1/31, 48, 36, 3, 5,23.00,-493
2021/2/1, 46, 29, 4, 7,21.50,-494
2021/2/2, 61, 30, 3, 7,25.25,-495
2021/2/3, 59, 31, 6, 8,26.00,-496
2021/2/4, 62, 33, 5, 8,27.00,-497
2021/2/5, 59, 23, 4, 8,23.50,-498
2021/2/6, 65, 32, 5, 9,27.75,-499
2021/2/7, 67, 31, , 9,35.67,-500
2021/2/8, 55, 27, 7, 8,24.25,-501
2021/2/9, 62, 33, 6, 8,27.25,-502
2021/2/10, 58, 25, 5, 8,24.00,-503
2021/2/11, 55, 20, 3, 7,21.25,-504
2021/2/12, 44, 19, 4, 8,18.75,-505
2021/2/13, 65, 6, 3, 6,20.00,-506
2021/2/14, 69, , , ,69.00,-507
2021/2/16, 70, 29, 2, 4,26.25,-508
2021/2/17, 51, 28, 3, 5,21.75,-509
2021/2/18, 39, 22, 3, 6,17.50,-510
2021/2/19, 50, 14, 4, 7,18.75,-511
2021/2/20, 45, 23, 4, 7,19.75,-512
